Producto,Product_Type,ventas_total,ventas_prom_mensual,inventario_prom,inventario_ultimo,rotacion_prom,cobertura_prom_sem,stockout_rate,cobertura_ult_sem,clasificacion_inventario
1 DISC DVD HOME THEATER SYSTEM,1 DISC DVD HOME THEATER SYSTEM,1.0,0.083333336,0.083333336,0.0,0.083333336,0.083333336,0.08333333333333333,0.0,Riesgo desabastecimiento
"360MM, DIVX PLAYBACK",360MM,0.0,0.0,0.40350878,0.0,0.0,0.40350878,0.0,0.0,Normal
"60W/CH, CD",60W/CH,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Normal
"ACR,40,M2,SET",ACR,1.0,0.016666668,0.81666666,0.0,0.0033333334,0.80408806,0.0,0.0,Riesgo desabastecimiento
"AUDIO DOCK,DA-E750,MEXICO",AUDIO DOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
"AUDIO DOCK,DA-F61,MEXICO",AUDIO DOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
"AV RECEIVER,HW-A450,COLOMBIA",AV RECEIVER,138.0,0.49462366,3.1971326,0.0,0.09595092,2.4447234,0.02867383512544803,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-A550,COLOMBIA",AV RECEIVER,71.0,0.3198198,2.2297297,0.0,0.11992371,2.089445,0.03153153153153153,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-A650,COLOMBIA",AV RECEIVER,108.0,0.54545456,2.030303,0.0,0.16419297,1.8665559,0.020202020202020204,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-B400F,COLOMBIA",AV RECEIVER,2.0,0.031746034,3.6984127,98.0,0.000320667,3.2045856,0.0,5637.758,Exceso inventario
"AV RECEIVER,HW-B450,COLOMBIA",AV RECEIVER,4111.0,13.703333,25.37,0.0,0.86906147,4.9942703,0.06666666666666667,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-B450F,COLOMBIA",AV RECEIVER,0.0,0.0,4.4444447,40.0,0.0,4.4444447,0.0,4000.0,Exceso inventario
"AV RECEIVER,HW-B550,COLOMBIA",AV RECEIVER,7201.0,21.055555,54.423977,0.0,1.1196898,8.145354,0.07894736842105263,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-B650,COLOMBIA",AV RECEIVER,4679.0,15.754209,34.713806,0.0,2.0225317,5.9407573,0.13131313131313133,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-B650D,COLOMBIA",AV RECEIVER,3043.0,13.707208,34.936935,0.0,0.69556797,9.718543,0.018018018018018018,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-B650F,COLOMBIA",AV RECEIVER,1097.0,5.2238097,30.966667,2.0,0.0958943,3.6803148,0.004761904761904762,1.6328671,Riesgo desabastecimiento
"AV RECEIVER,HW-B750F,COLOMBIA",AV RECEIVER,241.0,11.476191,23.52381,14.0,0.69369674,6.488183,0.0,5.226062,Normal
"AV RECEIVER,HW-C400,COLOMBIA",AV RECEIVER,91800.0,67.10526,116.17397,52.0,1.7369922,9.296286,0.05701754385964912,3.3299448,Alta rotacion
"AV RECEIVER,HW-C450,COLOMBIA",AV RECEIVER,17434.0,28.627258,48.133003,0.0,1.3934281,4.756651,0.0755336617405583,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-F355,MEXICO",AV RECEIVER,2.0,0.055555556,0.2777778,0.0,0.055555556,0.2777778,0.027777777777777776,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-J250,MEXICO",AV RECEIVER,6.0,0.0625,0.625,0.0,0.048611116,0.6183862,0.020833333333333332,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-J355,MEXICO",AV RECEIVER,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Normal
"AV RECEIVER,HW-J450,MEXICO",AV RECEIVER,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,Normal
"AV RECEIVER,HW-J550,MEXICO",AV RECEIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
"AV RECEIVER,HW-K355,MEXICO",AV RECEIVER,0.0,0.0,0.055555556,0.0,0.0,0.055555556,0.0,0.0,Normal
"AV RECEIVER,HW-K360,MEXICO",AV RECEIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
"AV RECEIVER,HW-K550,MEXICO",AV RECEIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
"AV RECEIVER,HW-LS60D,COLOMBIA",AV RECEIVER,2205.0,6.336207,33.609196,0.0,0.44072622,9.777611,0.022988505747126436,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-M360,COLOMBIA",AV RECEIVER,3.0,0.032258064,0.7741935,0.0,0.012544803,0.7640495,0.0,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-M450,COLOMBIA",AV RECEIVER,7.0,0.14583333,1.1875,0.0,0.085763894,1.144261,0.041666666666666664,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-M4500,COLOMBIA",AV RECEIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
"AV RECEIVER,HW-N300,COLOMBIA",AV RECEIVER,16.0,0.078431375,0.7892157,0.0,0.0450319,0.74182564,0.014705882352941176,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-N400,COLOMBIA",AV RECEIVER,3.0,0.0625,2.7083333,0.0,0.020833334,2.6872442,0.0,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-N450,COLOMBIA",AV RECEIVER,0.0,0.0,0.20833333,0.0,0.0,0.20833333,0.0,0.0,Normal
"AV RECEIVER,HW-N650,COLOMBIA",AV RECEIVER,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,Normal
"AV RECEIVER,HW-Q600A,COLOMBIA",AV RECEIVER,122.0,0.52136755,2.465812,0.0,0.10261154,1.909905,0.02564102564102564,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-Q600B,COLOMBIA",AV RECEIVER,389.0,2.7588654,7.5177307,0.0,0.40984276,3.3781676,0.0851063829787234,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-Q600C,COLOMBIA",AV RECEIVER,3164.0,8.937853,26.91808,4.0,0.52786064,7.312835,0.08757062146892655,1.9151857,Riesgo desabastecimiento
"AV RECEIVER,HW-Q600F,COLOMBIA",AV RECEIVER,45.0,0.48387095,6.27957,0.0,0.008918493,2.2770789,0.0,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-Q60R,COLOMBIA",AV RECEIVER,1.0,0.027777778,0.0,0.0,0.027777778,0.0,0.027777777777777776,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-Q60T,COLOMBIA",AV RECEIVER,13.0,0.07878788,0.6484848,0.0,0.04090909,0.63335514,0.01818181818181818,0.0,Riesgo desabastecimiento
"AV RECEIVER,HW-Q700A,COLOMBIA",AV RECEIVER,33.0,0.23404256,0.5531915,0.0,0.102217205,0.44781992,0.028368794326241134,0.0,Riesgo desabastecimiento
