Cliente,Cust_Sales,participacion_%,participacion_acum_%,en_pareto_80
CUSTOMER20,2002549.0,22.097897,22.097897,True
CUSTOMER7,1114428.0,12.297585,34.39548,True
CUSTOMER42,884597.0,9.761426,44.156906,True
CUSTOMER24,502249.0,5.5422597,49.699165,True
CUSTOMER70,434692.0,4.7967763,54.49594,True
CUSTOMER27,387380.0,4.2746935,58.770634,True
CUSTOMER43,277828.0,3.0658,61.836433,True
CUSTOMER69,264493.0,2.9186497,64.75508,True
CUSTOMER73,262407.0,2.8956308,67.65071,True
CUSTOMER35,261005.0,2.88016,70.53087,True
CUSTOMER6,232878.0,2.5697818,73.10065,True
CUSTOMER56,224983.0,2.4826615,75.583305,True
CUSTOMER25,222808.0,2.4586606,78.04197,True
CUSTOMER8,208403.0,2.2997031,80.341675,False
CUSTOMER57,184193.0,2.0325487,82.37422,False
CUSTOMER16,181945.0,2.007742,84.381966,False
CUSTOMER74,162357.0,1.7915908,86.17355,False
CUSTOMER82,136370.0,1.5048271,87.67838,False
CUSTOMER18,121175.0,1.3371521,89.01553,False
CUSTOMER90,111194.0,1.2270129,90.242546,False
CUSTOMER39,99378.0,1.0966247,91.33917,False
CUSTOMER54,95457.0,1.0533569,92.39253,False
CUSTOMER66,90040.0,0.993581,93.386116,False
CUSTOMER77,60776.0,0.67065614,94.05677,False
CUSTOMER87,42819.0,0.47250274,94.529274,False
CUSTOMER5,42403.0,0.4679122,94.997185,False
CUSTOMER51,40893.0,0.45124954,95.44843,False
CUSTOMER50,40273.0,0.4444079,95.89284,False
CUSTOMER67,34270.0,0.37816548,96.271,False
CUSTOMER45,33987.0,0.37504262,96.64605,False
CUSTOMER88,30761.0,0.33944407,96.9855,False
CUSTOMER63,29765.0,0.32845336,97.31395,False
CUSTOMER15,28100.0,0.31008026,97.62403,False
CUSTOMER33,25580.0,0.28227234,97.9063,False
CUSTOMER71,14550.0,0.16055757,98.066864,False
CUSTOMER79,13461.0,0.14854059,98.21541,False
CUSTOMER2,13071.0,0.14423698,98.35964,False
CUSTOMER40,11159.0,0.12313827,98.48278,False
CUSTOMER86,10790.0,0.1190664,98.601845,False
CUSTOMER68,9398.0,0.10370584,98.70555,False
CUSTOMER52,8070.0,0.089051515,98.7946,False
CUSTOMER9,7634.0,0.08424031,98.878845,False
CUSTOMER44,7431.0,0.082000226,98.960846,False
CUSTOMER10,7126.0,0.07863458,99.03948,False
CUSTOMER41,6653.0,0.073415086,99.1129,False
CUSTOMER53,6590.0,0.07271989,99.18562,False
CUSTOMER65,6272.0,0.0692108,99.25484,False
CUSTOMER62,5882.0,0.06490719,99.31975,False
CUSTOMER34,5562.0,0.061376028,99.38113,False
CUSTOMER13,4433.0,0.048917644,99.430046,False
CUSTOMER38,4432.0,0.048906606,99.47895,False
CUSTOMER84,4144.0,0.04572856,99.52468,False
CUSTOMER80,4117.0,0.04543062,99.570114,False
CUSTOMER36,4092.0,0.045154747,99.61527,False
CUSTOMER23,3839.0,0.04236292,99.65764,False
CUSTOMER96,3330.0,0.036746163,99.69438,False
CUSTOMER89,2750.0,0.030345932,99.72473,False
CUSTOMER21,2552.0,0.028161027,99.75289,False
CUSTOMER94,2228.0,0.024585722,99.77747,False
CUSTOMER48,2193.0,0.024199503,99.801674,False
CUSTOMER11,2140.0,0.023614652,99.82529,False
CUSTOMER64,2058.0,0.022709792,99.848,False
CUSTOMER58,1905.0,0.021021456,99.86902,False
CUSTOMER47,1810.0,0.01997314,99.88899,False
CUSTOMER81,1686.0,0.018604815,99.9076,False
CUSTOMER60,1655.0,0.018262733,99.925865,False
CUSTOMER76,1172.0,0.012932885,99.9388,False
CUSTOMER97,999.0,0.01102385,99.94982,False
CUSTOMER93,845.0,0.009324477,99.959145,False
CUSTOMER49,648.0,0.0071506053,99.96629,False
CUSTOMER12,586.0,0.0064664427,99.97276,False
CUSTOMER85,557.0,0.0061464305,99.97891,False
CUSTOMER19,321.0,0.003542198,99.98245,False
CUSTOMER78,288.0,0.0031780466,99.985634,False
CUSTOMER61,281.0,0.0031008024,99.98873,False
CUSTOMER26,219.0,0.0024166396,99.99115,False
CUSTOMER37,204.0,0.0022511166,99.9934,False
CUSTOMER30,154.0,0.0016993723,99.9951,False
CUSTOMER72,121.0,0.0013352211,99.99644,False
CUSTOMER17,118.0,0.0013021164,99.99774,False
CUSTOMER29,72.0,0.00079451164,99.998535,False
CUSTOMER14,63.0,0.0006951977,99.99923,False
CUSTOMER91,43.0,0.00047450003,99.9997,False
CUSTOMER31,20.0,0.0002206977,99.99992,False
CUSTOMER32,10.0,0.00011034885,100.00003,False
CUSTOMER4,0.0,0.0,100.00003,False
CUSTOMER1,0.0,0.0,100.00003,False
CUSTOMER3,0.0,0.0,100.00003,False
CUSTOMER28,0.0,0.0,100.00003,False
CUSTOMER22,0.0,0.0,100.00003,False
CUSTOMER55,0.0,0.0,100.00003,False
CUSTOMER59,0.0,0.0,100.00003,False
CUSTOMER46,0.0,0.0,100.00003,False
CUSTOMER75,0.0,0.0,100.00003,False
CUSTOMER83,0.0,0.0,100.00003,False
CUSTOMER92,0.0,0.0,100.00003,False
CUSTOMER95,0.0,0.0,100.00003,False
CUSTOMER98,0.0,0.0,100.00003,False
