Producto,Product_Type,pred_ventas,prom_3m,incremento_abs,incremento_pct
"LED TV,UN50U8000FK,50,COLOMBIA,UWS51/U50",LED TV,946.6016,7.27451,939.3271,11352.058
"LED TV,UN43U8000FK,43,COLOMBIA,UWS51/U43",LED TV,942.7895,19.641026,923.14844,4472.396
"FWM,SELACOL,CO,22",FWM,1492.0751,38.030304,1454.0448,3725.4253
"OWM,SELACOL,CO,19",OWM,1861.2648,48.504272,1812.7605,3661.8264
"LED TV,UN65U8000FK,65,COLOMBIA,UWS51/U65",LED TV,1177.6321,31.133333,1146.4988,3567.9424
"MINI COMPONENT,MX-T50,COLOMBIA",MINI COMPONENT,988.7102,28.495495,960.2147,3255.4622
"MINI COMPONENT,MX-T70,COLOMBIA",MINI COMPONENT,1123.4519,34.009804,1089.4421,3111.8203
"OWM,SELACOL,CO,15",OWM,1533.211,47.53846,1485.6726,3060.8152
"MINI COMPONENT,MX-T40,COLOMBIA",MINI COMPONENT,1263.1766,41.365593,1221.811,2883.97
"LED TV,UN40F6000FK,40,COLOMBIA,UWB50/U40",LED TV,702.918,25.077778,677.8403,2599.3022
"RSS,26.5,120V 60HZ",RSS,392.0756,13.773809,378.3018,2560.6245
"FWM,SELACOL,CO,20",FWM,517.4771,19.423077,498.05405,2438.6829
"LED TV,UN40T5290AK,40,COLOMBIA,UWM00/U40",LED TV,577.32745,21.85034,555.4771,2430.9358
"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,5368.488,213.93651,5154.5513,2398.1738
"QLED TV,QN75Q6FAAK,75,COLOMBIA,QWS51/Q75",QLED TV,171.45172,5.9259257,165.5258,2389.9448
"OWM,SELACOL,CO,17",OWM,927.0774,36.757576,890.3198,2357.99
"LED TV,UN75U8000FK,75,COLOMBIA,UWS51/U75",LED TV,272.61417,10.357142,262.25702,2309.1814
"RSS,603.0,120V 60HZ",RSS,507.94025,20.247313,487.69293,2295.316
"TWM,SELACOL,CO,7.5",TWM,1011.3506,41.73016,969.6204,2269.1711
"OWM,SELACOL,CO,13",OWM,1481.7706,62.273506,1419.4971,2243.4304
