modelo,MAE,RMSE,WAPE_%,sMAPE_%,R2,fold,n,target_sum
Baseline lag_1,34.39324572558994,178.1678985017254,83.82962748663691,72.55191498422758,0.37470477570144944,2025-02,7077,290352.0
Baseline rolling_3m,34.643681483769356,185.64488565105248,84.44003618388568,81.24621715413471,0.3211213115928955,2025-02,7077,290352.0
Baseline cero,41.02755404832556,229.01825355956504,100.0,92.80768684783077,-0.033157169492241456,2025-02,7077,290352.0
XGBoost log1p demanda,22.122085534836092,130.22048143307973,53.920069202221796,139.5691730438128,0.6659705257305197,2025-02,7077,290352.0
Baseline lag_1,36.423201921718245,204.57407201222665,99.77317855801945,72.98314368352301,0.13931296083144284,2025-03,7077,258353.0
Baseline rolling_3m,34.242334312114636,192.43013344976913,93.79918171139306,86.77785377358026,0.2384643383249243,2025-03,7077,258353.0
Baseline cero,36.50600536950685,223.5112400083288,100.0,86.98601099700672,-0.027407707461636566,2025-03,7077,258353.0
XGBoost log1p demanda,21.75038901259836,154.180870926112,59.58030409639471,138.27774468320527,0.5111168459444898,2025-03,7077,258353.0
Baseline lag_1,35.218312844425604,198.8221683506824,90.06873324130355,73.96296749493597,0.2679527383880642,2025-04,7077,276722.0
Baseline rolling_3m,39.28863454604951,217.0816202596736,100.47833807300914,94.68942112272757,0.12731880543178686,2025-04,7077,276722.0
Baseline cero,39.10159672177476,235.64492031978241,100.0,90.68814466945467,-0.028313821717599996,2025-04,7077,276722.0
XGBoost log1p demanda,20.252438993916847,140.3658272165148,51.79440404447407,128.7960607704111,0.6351349309438326,2025-04,7077,276722.0
Baseline lag_1,36.37925674720927,215.65593885198444,83.80374528421649,71.42988292695671,0.20055525909462735,2025-05,7077,307213.0
Baseline rolling_3m,39.56313871745253,204.9947127403746,91.13817862636398,94.70049109207328,0.27764459868927116,2025-05,7077,307213.0
Baseline cero,43.41006076020913,245.06971638597292,100.0,92.63812347522527,-0.03239264357153626,2025-05,7077,307213.0
XGBoost log1p demanda,22.334805272764243,141.97593032974154,51.45075791563265,124.22553418196817,0.6535065324444405,2025-05,7077,307213.0
Baseline lag_1,30.129433375724176,159.7426634459268,71.75654210639672,69.57349392413445,0.5411408170592034,2025-06,7077,297152.0
Baseline rolling_3m,33.27902596963653,162.6791151662657,79.25764147208086,91.5416380044689,0.5241159072827979,2025-06,7077,297152.0
Baseline cero,41.988413169422074,239.52921714666198,100.0,88.56860249116168,-0.03170271882817288,2025-06,7077,297152.0
XGBoost log1p demanda,21.859338604004584,139.61806255550113,52.06040655978773,128.75285556160125,0.6494735462911612,2025-06,7077,297152.0
Baseline lag_1,35.34364843860393,206.76547239932364,187.18718194336347,72.73310280128189,-1.5771190884473003,2025-07,7077,133624.0
Baseline rolling_3m,31.589515411089046,172.72773782815344,167.3045265553173,93.62520194222763,-0.7984676161916067,2025-07,7077,133624.0
Baseline cero,18.88144694079412,130.17511384918888,100.0,67.40144126694013,-0.02149062256171952,2025-07,7077,133624.0
XGBoost log1p demanda,21.718023759372578,142.40368585359911,115.0230902720168,145.71063165365422,-0.2224213107255979,2025-07,7077,133624.0
