Cliente,ventas_prev_3m,ventas_last_3m,cambio_abs,cambio_%,estado_cliente
CUSTOMER7,109332.0,117530.0,8198.0,7.4981937,Estable
CUSTOMER25,16365.0,21109.0,4744.0,28.986925,Creciendo
CUSTOMER50,612.0,3217.0,2605.0,424.95923,Creciendo
CUSTOMER74,8841.0,11091.0,2250.0,25.446732,Creciendo
CUSTOMER8,15268.0,16462.0,1194.0,7.819766,Estable
CUSTOMER88,2476.0,3435.0,959.0,38.716187,Creciendo
CUSTOMER6,25744.0,26618.0,874.0,3.394834,Estable
CUSTOMER66,8158.0,8919.0,761.0,9.327124,Estable
CUSTOMER51,4550.0,5090.0,540.0,11.865524,Estable
CUSTOMER97,254.0,745.0,491.0,192.54901,Creciendo
CUSTOMER65,447.0,845.0,398.0,88.83929,Creciendo
CUSTOMER40,573.0,774.0,201.0,35.01742,Creciendo
CUSTOMER94,223.0,398.0,175.0,78.125,Creciendo
CUSTOMER68,206.0,363.0,157.0,75.845406,Creciendo
CUSTOMER15,2516.0,2665.0,149.0,5.9197454,Estable
CUSTOMER47,397.0,504.0,107.0,26.884422,Creciendo
CUSTOMER34,421.0,509.0,88.0,20.85308,Creciendo
CUSTOMER12,93.0,174.0,81.0,86.17021,Creciendo
CUSTOMER9,611.0,683.0,72.0,11.764706,Estable
CUSTOMER53,164.0,230.0,66.0,40.0,Creciendo
CUSTOMER58,122.0,171.0,49.0,39.8374,Creciendo
CUSTOMER64,126.0,142.0,16.0,12.598425,Estable
CUSTOMER95,0.0,0.0,0.0,0.0,Estable
CUSTOMER83,0.0,0.0,0.0,0.0,Estable
CUSTOMER98,0.0,0.0,0.0,0.0,Estable
CUSTOMER75,0.0,0.0,0.0,0.0,Estable
CUSTOMER76,0.0,0.0,0.0,0.0,Estable
CUSTOMER59,0.0,0.0,0.0,0.0,Estable
CUSTOMER30,0.0,0.0,0.0,0.0,Estable
CUSTOMER3,0.0,0.0,0.0,0.0,Estable
CUSTOMER23,0.0,0.0,0.0,0.0,Estable
CUSTOMER80,8.0,7.0,-1.0,-11.111112,Estable
CUSTOMER84,290.0,287.0,-3.0,-1.0309278,Estable
CUSTOMER19,7.0,0.0,-7.0,-87.5,Disminuyendo
CUSTOMER17,16.0,0.0,-16.0,-94.117645,Disminuyendo
CUSTOMER10,734.0,706.0,-28.0,-3.809524,Estable
CUSTOMER48,136.0,98.0,-38.0,-27.737226,Disminuyendo
CUSTOMER62,551.0,509.0,-42.0,-7.6086955,Estable
CUSTOMER81,106.0,51.0,-55.0,-51.40187,Disminuyendo
CUSTOMER52,564.0,509.0,-55.0,-9.734513,Estable
CUSTOMER36,293.0,220.0,-73.0,-24.829931,Disminuyendo
CUSTOMER89,299.0,192.0,-107.0,-35.666664,Disminuyendo
CUSTOMER86,1003.0,863.0,-140.0,-13.944223,Estable
CUSTOMER45,178.0,14.0,-164.0,-91.62011,Disminuyendo
CUSTOMER41,373.0,207.0,-166.0,-44.38503,Disminuyendo
CUSTOMER79,1195.0,1021.0,-174.0,-14.548495,Estable
CUSTOMER93,342.0,160.0,-182.0,-53.061222,Disminuyendo
CUSTOMER38,426.0,239.0,-187.0,-43.79391,Disminuyendo
CUSTOMER13,438.0,225.0,-213.0,-48.51936,Disminuyendo
CUSTOMER63,2821.0,2596.0,-225.0,-7.973069,Estable
CUSTOMER96,982.0,588.0,-394.0,-40.081387,Disminuyendo
CUSTOMER44,809.0,403.0,-406.0,-50.12346,Disminuyendo
CUSTOMER42,68720.0,68294.0,-426.0,-0.61989784,Estable
CUSTOMER71,1265.0,772.0,-493.0,-38.941547,Disminuyendo
CUSTOMER2,2089.0,1542.0,-547.0,-26.172247,Disminuyendo
CUSTOMER33,2070.0,1450.0,-620.0,-29.93723,Disminuyendo
CUSTOMER39,6924.0,6267.0,-657.0,-9.487365,Estable
CUSTOMER90,3764.0,2601.0,-1163.0,-30.889774,Disminuyendo
CUSTOMER82,15710.0,14360.0,-1350.0,-8.592706,Estable
CUSTOMER16,14998.0,13570.0,-1428.0,-9.520635,Estable
CUSTOMER5,4996.0,3263.0,-1733.0,-34.68081,Disminuyendo
CUSTOMER87,4793.0,3045.0,-1748.0,-36.462246,Disminuyendo
CUSTOMER54,8334.0,5693.0,-2641.0,-31.685661,Disminuyendo
CUSTOMER27,39554.0,36630.0,-2924.0,-7.3922386,Estable
CUSTOMER56,25144.0,21771.0,-3373.0,-13.414198,Estable
CUSTOMER69,17138.0,13764.0,-3374.0,-19.686096,Estable
CUSTOMER57,17222.0,13058.0,-4164.0,-24.176973,Disminuyendo
CUSTOMER43,26215.0,20959.0,-5256.0,-20.048826,Disminuyendo
CUSTOMER35,39700.0,31907.0,-7793.0,-19.629229,Estable
CUSTOMER73,31631.0,23606.0,-8025.0,-25.369879,Disminuyendo
CUSTOMER70,39886.0,31744.0,-8142.0,-20.412666,Disminuyendo
CUSTOMER24,63396.0,53174.0,-10222.0,-16.12379,Estable
CUSTOMER18,16565.0,4731.0,-11834.0,-71.43547,Disminuyendo
CUSTOMER20,165516.0,134685.0,-30831.0,-18.627089,Estable
