Producto,Cust_Sales,participacion_%,participacion_acum_%,en_pareto_80
"MOBILE,SM-A155M/DSN,BLACK,LTC",180344.0,1.9900752,1.9900752,True
"MOBILE,SM-A055M/DS,BLACK,LTC",169753.0,1.8732047,3.8632798,True
"MOBILE,SM-A145M/DS,BLACK,LTC",163824.0,1.8077788,5.6710587,True
"MOBILE,SM-A155M/DSN,LIGHT BLUE,LTC",153121.0,1.6896725,7.360731,True
"OWM,SELACOL,CO,19",132365.0,1.4606324,8.821363,True
"MOBILE,SM-A145M/DS,LIGHT GREEN ,LTC",119080.0,1.314034,10.135397,True
"MOBILE,SM-A356E/DS,BLACK,LTC",112506.0,1.2414907,11.376887,True
"MOBILE,SM-A042M/DS,BLACK,LTC",108830.0,1.2009265,12.577814,True
"LED TV,UN40T5290AK,40,COLOMBIA,UWM00/U40",97026.0,1.0706707,13.648485,True
"MOBILE,SM-A245M/DSN,BLACK,LTC",96122.0,1.0606952,14.709181,True
"MOBILE,SM-A042M/DS,LIGHT BLUE,LTC",95487.0,1.053688,15.762869,True
"AV RECEIVER,HW-C400,COLOMBIA",91800.0,1.0130024,16.775871,True
"MOBILE,SM-A055M/DS,LIGHT GREEN,LTC",90372.0,0.9972446,17.773115,True
"MOBILE,SM-A055M/DS,SILVER,LTC",90003.0,0.9931727,18.766289,True
"MOBILE,SM-A145M,BLACK,COM",87557.0,0.9661814,19.73247,True
"MOBILE,SM-A055M,BLACK,COM",85565.0,0.94419986,20.67667,True
"LED TV,UN58CU7000K,58,COLOMBIA,UWS31/U58",80947.0,0.8932408,21.56991,True
"MOBILE,SM-A156M/N,LIGHT BLUE,COM",79530.0,0.87760437,22.447514,True
"MOBILE,SM-A065M/DS,BLACK,LTC",79100.0,0.87285936,23.320374,True
"MOBILE,SM-A156M/N,BLACK,COM",78168.0,0.8625749,24.18295,True
"TABLET,SM-X210,GRAY,COO",77691.0,0.8573112,25.04026,True
"OWM,SELACOL,CO,13",75074.0,0.8284329,25.868692,True
"MOBILE,SM-A356E/DS,LIGHT BLUE,LTC",71711.0,0.79132265,26.660015,True
"MOBILE,SM-A057M/DS,BLACK,LTC",69381.0,0.76561135,27.425627,True
"MOBILE,SM-A245M/N,BLACK,COM",68907.0,0.7603808,28.186008,True
"LED TV,UN32T4300AK,32,COLOMBIA,UWM01/U32",67732.0,0.7474148,28.933424,True
"MOBILE,SM-A145M,SILVER,COM",67299.0,0.74263674,29.676062,True
"MOBILE,SM-A165M/DS,BLACK,LTC",67282.0,0.7424491,30.41851,True
"MOBILE,SM-A245M/DSN,LIGHT GREEN ,LTC",65113.0,0.71851444,31.137024,True
"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",64209.0,0.7085389,31.845562,True
"OWM,SELACOL,CO,15",64112.0,0.7074685,32.553032,True
"MOBILE,SM-A045M/DS,BLACK,LTC",62133.0,0.6856305,33.238663,True
"MOBILE,SM-A047M/DS,BLACK,LTC",61051.0,0.67369074,33.912354,True
"MOBILE,SM-A356E,BLACK,COM",60311.0,0.6655249,34.577877,True
"MOBILE,SM-A055M,SILVER,COM",59557.0,0.6572046,35.23508,True
"LED MON,S22A336NHL,22,COLOMBIA,LG10/S22T",58353.0,0.64391863,35.878998,True
"LED MON,F24T350FHL,24,COLOMBIA,LS00/S24T",56503.0,0.62350404,36.502502,True
"MOBILE,SM-A065M,BLACK,COM",56235.0,0.62054676,37.12305,True
"OWM,SELACOL,CO,17",54614.0,0.60265917,37.725708,True
"MOBILE,SM-A057M,BLACK,COM",52790.0,0.5825316,38.30824,True
"MOBILE,SM-A356E/DS,LIGHT VIOLET,LTC",51419.0,0.5674027,38.87564,True
"MOBILE,SM-A226BR/DSN,GRAY,LTC",50315.0,0.5552202,39.430862,True
"MOBILE,SM-A045M/DS,GREEN,LTC",50307.0,0.555132,39.985996,True
"MOBILE,SM-A165M/DS,GRAY,LTC",50307.0,0.555132,40.54113,True
"LED TV,UN55CU7000K,55,COLOMBIA,UWS31/U55",49714.0,0.5485883,41.089718,True
"LED TV,UN65DU7000K,65,COLOMBIA,UWS41/U65",49367.0,0.54475915,41.634476,True
"MOBILE,SM-A226BR/DSN,LIGHT GREEN ,LTC",47254.0,0.5214424,42.15592,True
"MOBILE,SM-A155M/DSN,YELLOW,LTC",47167.0,0.52048236,42.6764,True
"LED TV,UN50CU7000K,50,COLOMBIA,UWS31/U50",47131.0,0.5200851,43.196484,True
