Cliente,Producto,Product_Type,pred_ventas,Channel_Inv,Sell_in,periodo_predicho,inventario_negativo_flag,inventario_disponible,gap_demanda,gap_abs,cobertura_semanas,prioridad_despacho,recomendacion
CUSTOMER24,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,2817.577,11678.0,0.0,2025-09-01,0,11678.0,-8860.423,8860.423,17.821922,8860.423,Monitorear
CUSTOMER20,"MOBILE,SM-A065M,LIGHT GREEN,COM",MOBILE,1322.1663,9798.0,0.0,2025-09-01,0,9798.0,-8475.834,8475.834,31.864399,8475.834,Monitorear
CUSTOMER20,"MOBILE,SM-A065M,BLACK,COM",MOBILE,1474.093,9581.0,0.0,2025-09-01,0,9581.0,-8106.907,8106.907,27.947422,8106.907,Monitorear
CUSTOMER20,"MOBILE,SM-A166M,LIGHT GREEN,COM",MOBILE,1676.9879,9329.0,0.0,2025-09-01,0,9329.0,-7652.012,7652.012,23.920073,7652.012,Monitorear
CUSTOMER56,"MOBILE,SM-A055M/DS,LIGHT GREEN,LTC",MOBILE,378.0497,7717.0,0.0,2025-09-01,0,7717.0,-7338.95,7338.95,87.76446,7338.95,Monitorear
CUSTOMER24,"MOBILE,SM-M556B/DS,BLACK,COO",MOBILE,769.5968,8092.0,0.0,2025-09-01,0,8092.0,-7322.4033,7322.4033,45.210243,7322.4033,Monitorear
CUSTOMER20,"MOBILE,SM-A166M,GRAY,COM",MOBILE,1676.6023,8468.0,0.0,2025-09-01,0,8468.0,-6791.3975,6791.3975,21.717415,6791.3975,Monitorear
CUSTOMER20,"MOBILE,SM-A166M,BLACK,COM",MOBILE,1630.6343,8093.0,0.0,2025-09-01,0,8093.0,-6462.3657,6462.3657,21.340765,6462.3657,Monitorear
CUSTOMER70,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,1257.8414,7428.0,0.0,2025-09-01,0,7428.0,-6170.1587,6170.1587,25.392159,6170.1587,Monitorear
CUSTOMER24,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,2036.5308,7296.0,0.0,2025-09-01,0,7296.0,-5259.469,5259.469,15.404696,5259.469,Monitorear
CUSTOMER24,"MOBILE,SM-A055M,BLACK,COM",MOBILE,1444.53,6263.0,0.0,2025-09-01,0,6263.0,-4818.4697,4818.4697,18.64281,4818.4697,Monitorear
CUSTOMER24,"MOBILE,SM-A055M,SILVER,COM",MOBILE,1341.5657,5759.0,0.0,2025-09-01,0,5759.0,-4417.4346,4417.4346,18.458214,4417.4346,Monitorear
CUSTOMER24,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,2462.4558,6854.0,0.0,2025-09-01,0,6854.0,-4391.544,4391.544,11.968412,4391.544,Monitorear
CUSTOMER8,"MOBILE,SM-A055M/DS,LIGHT GREEN,LTC",MOBILE,370.4831,4725.0,0.0,2025-09-01,0,4725.0,-4354.517,4354.517,54.834198,4354.517,Monitorear
CUSTOMER73,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,1097.3617,5203.0,0.0,2025-09-01,0,5203.0,-4105.638,4105.638,20.387102,4105.638,Monitorear
CUSTOMER57,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,215.02185,4308.0,0.0,2025-09-01,0,4308.0,-4092.978,4092.978,86.134026,4092.978,Monitorear
CUSTOMER20,"MOBILE,SM-A266M,WHITE,COM",MOBILE,1646.7815,5703.0,0.0,2025-09-01,0,5703.0,-4056.2185,4056.2185,14.891023,4056.2185,Monitorear
CUSTOMER20,"MOBILE,SM-A366E,WHITE,COM",MOBILE,2176.1636,5931.0,1990.0,2025-09-01,0,5931.0,-3754.8364,3754.8364,11.719154,3754.8364,Monitorear
CUSTOMER24,"MOBILE,SM-A055M/DS,BLACK,LTC",MOBILE,1210.1096,4776.0,0.0,2025-09-01,0,4776.0,-3565.8904,3565.8904,16.97042,3565.8904,Monitorear
CUSTOMER70,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,1111.4806,4571.0,0.0,2025-09-01,0,4571.0,-3459.5195,3459.5195,17.683205,3459.5195,Monitorear
CUSTOMER70,"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,620.739,3955.0,0.0,2025-09-01,0,3955.0,-3334.261,3334.261,27.395287,3334.261,Monitorear
CUSTOMER20,"MOBILE,SM-A065M,LIGHT BLUE,COM",MOBILE,1144.5134,4170.0,0.0,2025-09-01,0,4170.0,-3025.4866,3025.4866,15.666331,3025.4866,Monitorear
CUSTOMER42,"LED TV,UN58U8000FK,58,COLOMBIA,UWS51/U58",LED TV,347.27655,3345.0,2750.0,2025-09-01,0,3345.0,-2997.7234,2997.7234,41.412872,2997.7234,Monitorear
CUSTOMER20,"MOBILE,SM-A266M,BLACK,COM",MOBILE,1399.4225,4362.0,0.0,2025-09-01,0,4362.0,-2962.5776,2962.5776,13.402688,2962.5776,Monitorear
CUSTOMER42,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,826.8603,3788.0,0.0,2025-09-01,0,3788.0,-2961.1396,2961.1396,19.698074,2961.1396,Monitorear
CUSTOMER20,"MOBILE,SM-A366E,LIGHT GREEN,COM",MOBILE,1567.9606,4396.0,1500.0,2025-09-01,0,4396.0,-2828.0396,2828.0396,12.05533,2828.0396,Monitorear
CUSTOMER20,"MOBILE,SM-A566E,BLACK,COM",MOBILE,1455.7605,4258.0,0.0,2025-09-01,0,4258.0,-2802.2395,2802.2395,12.576835,2802.2395,Monitorear
CUSTOMER7,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,547.2528,3339.0,400.0,2025-09-01,0,3339.0,-2791.747,2791.747,26.233894,2791.747,Monitorear
CUSTOMER20,"MOBILE,SM-A366E,BLACK,COM",MOBILE,1636.7532,4290.0,1510.0,2025-09-01,0,4290.0,-2653.2468,2653.2468,11.270187,2653.2468,Monitorear
CUSTOMER57,"MOBILE,SM-A055M/DS,LIGHT GREEN,LTC",MOBILE,323.4781,2960.0,0.0,2025-09-01,0,2960.0,-2636.522,2636.522,39.342102,2636.522,Monitorear
CUSTOMER24,"MOBILE,SM-A166M/DS,BLACK,LTC",MOBILE,1710.0996,4188.0,0.0,2025-09-01,0,4188.0,-2477.9004,2477.9004,10.53035,2477.9004,Monitorear
CUSTOMER70,"MOBILE,SM-A065M/DS,LIGHT GREEN,LTC",MOBILE,776.1449,3238.0,0.0,2025-09-01,0,3238.0,-2461.855,2461.855,17.938183,2461.855,Monitorear
CUSTOMER7,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,834.0709,3285.0,700.0,2025-09-01,0,3285.0,-2450.9292,2450.9292,16.934738,2450.9292,Monitorear
CUSTOMER73,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,566.9974,2995.0,0.0,2025-09-01,0,2995.0,-2428.0027,2428.0027,22.711788,2428.0027,Monitorear
CUSTOMER20,"MOBILE,SM-A566E,GREEN,COM",MOBILE,985.72986,3396.0,0.0,2025-09-01,0,3396.0,-2410.27,2410.27,14.813556,2410.27,Monitorear
CUSTOMER20,"MOBILE,SM-S721B,GRAY,COM",MOBILE,1004.50073,3342.0,1350.0,2025-09-01,0,3342.0,-2337.4993,2337.4993,14.3056,2337.4993,Monitorear
CUSTOMER42,"QLED TV,QN65Q7FAAK,65,COLOMBIA,QWD51/Q65",QLED TV,336.02353,2642.0,0.0,2025-09-01,0,2642.0,-2305.9766,2305.9766,33.804615,2305.9766,Monitorear
CUSTOMER24,"MOBILE,SM-A166M/DS,GRAY,LTC",MOBILE,1585.6595,3834.0,0.0,2025-09-01,0,3834.0,-2248.3403,2248.3403,10.39678,2248.3403,Monitorear
CUSTOMER70,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,650.81274,2873.0,0.0,2025-09-01,0,2873.0,-2222.1873,2222.1873,18.981012,2222.1873,Monitorear
