Producto,Product_Type,demanda_predicha,inventario_disponible,gap_total,clientes_en_riesgo
"MON,S22D310EAN,22,UNITED STATES,LV40/S22",MON,347.8137,21.0,326.8137,1
"OWM,SELACOL,CO,19",OWM,267.38464,42.0,225.38463,2
"OWM,SAMCOL,CO,19",OWM,309.32574,92.0,217.32573,2
"MINI COMPONENT,MX-T70,COLOMBIA",MINI COMPONENT,355.32172,159.0,196.32172,1
"OWM,SELACOL,CO,13",OWM,428.25354,259.0,169.25354,2
"FWM,SELACOL,CO,22",FWM,234.95839,67.0,167.95839,1
"RTF,264.0,120V 60HZ",RTF,380.64838,218.0,162.64838,2
"OWM,SAMCOL,CO,13",OWM,560.1835,413.0,147.18344,3
"TABLET,SM-X210,SILVER,COO",TABLET,141.62,0.0,141.62,2
"TABLET,SM-X210,GRAY,COO",TABLET,139.75952,0.0,139.75952,1
"LED TV,UN55U8200FK,55,COLOMBIA,UWS51/U55",LED TV,169.3473,36.0,133.3473,1
"LED TV,UN43U8200FK,43,COLOMBIA,UWS51/U43",LED TV,132.509,37.0,95.509,1
"AV RECEIVER,HW-C400,COLOMBIA",AV RECEIVER,94.81465,3.0,91.81465,1
"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,87.764496,0.0,87.764496,1
"MOBILE,SM-A366E/DS,BLACK,LTC",MOBILE,102.06824,21.0,81.06824,1
"OWM,SELACOL,CO,15",OWM,134.28046,54.0,80.28046,1
"TABLET,SM-X110,GRAY,L13",TABLET,78.51859,0.0,78.51859,1
"MOBILE,SM-A366E/DS,LIGHT VIOLET,LTC",MOBILE,284.2227,214.0,70.22269,1
"MOBILE,SM-S938B/DS,TITANIUM,LTC",MOBILE,70.21889,0.0,70.21889,1
"MWO(COMMON),0.8,120V 60HZ,EBONY BLACK,TA",MWO(COMMON),130.00182,62.0,68.001816,1
"MOBILE,SM-A266M/DS,BLACK,LTC",MOBILE,66.026184,0.0,66.026184,1
"PROJECTOR,SP-LFF3CLAX,COLOMBIA,RWS10/R00",PROJECTOR,76.55701,12.0,64.55701,1
"DW,REAL STAINLESS,120V 60HZ",DW,92.28963,29.0,63.289627,1
"LED TV,UN50U8000FK,50,COLOMBIA,UWS51/U50",LED TV,62.805046,0.0,62.805046,1
"MON,S27F610EAN,27,UNITED STATES,LQ51/S27",MON,63.822655,4.0,59.822655,1
"FWM,SELACOL,CO,12.5",FWM,148.87811,93.0,55.878113,1
"MWO(COMMON),1.4,120V 60HZ,REAL STAINLESS",MWO(COMMON),55.150826,0.0,55.150826,1
"MOBILE,SM-S938B/DS,BLACK,LTC",MOBILE,54.14315,0.0,54.14315,1
"TABLET,SM-X520,GRAY,COO",TABLET,54.062798,0.0,54.062798,1
"MOBILE,SM-A566E/DS,BLACK,LTC",MOBILE,52.96129,0.0,52.96129,1
"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,52.605392,0.0,52.605392,1
"TWM,SELACOL,CO,7.5",TWM,631.1515,579.0,52.15149,1
"TABLET,SM-X620,GRAY,COO",TABLET,50.73007,0.0,50.73007,1
"FWM,SAMCOL,CO,26",FWM,91.642944,42.0,49.642944,1
"TABLET,SM-P620,GRAY,COO",TABLET,47.940567,0.0,47.940567,1
"OWM,SELACOL,CO,17",OWM,149.46794,102.0,47.46794,1
"TABLET,SM-X520,LIGHT BLUE,COO",TABLET,47.383713,0.0,47.383713,1
"MON,S24D402GAN,24,UNITED STATES,LM41/S24",MON,117.33544,70.0,47.33544,1
"RSS,603.0,120V 60HZ",RSS,81.6585,36.0,45.6585,1
"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,44.467804,0.0,44.467804,1
"MOBILE,SM-S938B/DS,BLUE,LTC",MOBILE,42.628197,0.0,42.628197,1
"MOBILE,SM-A266M/DS,WHITE,LTC",MOBILE,41.959507,0.0,41.959507,1
"FWM,SELACOL,CO,18",FWM,60.912285,19.0,41.912285,1
