Cliente,Producto,Product_Type,pred_ventas,Channel_Inv,Sell_in,periodo_predicho,inventario_negativo_flag,inventario_disponible,gap_demanda,gap_abs,cobertura_semanas,prioridad_despacho,recomendacion
CUSTOMER82,"MON,S22D310EAN,22,UNITED STATES,LV40/S22",MON,347.8137,21.0,1200.0,2025-09-01,0,21.0,326.8137,326.8137,0.25958967,326.8137,Despachar / reabastecer
CUSTOMER74,"MINI COMPONENT,MX-T70,COLOMBIA",MINI COMPONENT,355.32172,159.0,220.0,2025-09-01,0,159.0,196.32172,196.32172,1.923939,196.32172,Despachar / reabastecer
CUSTOMER35,"FWM,SELACOL,CO,22",FWM,234.95839,67.0,64.0,2025-09-01,0,67.0,167.95839,167.95839,1.2259502,167.95839,Despachar / reabastecer
CUSTOMER27,"TABLET,SM-X210,GRAY,COO",TABLET,139.75952,0.0,150.0,2025-09-01,0,0.0,139.75952,139.75952,0.0,139.75952,Despachar / reabastecer
CUSTOMER35,"OWM,SELACOL,CO,19",OWM,181.63881,42.0,53.0,2025-09-01,0,42.0,139.63881,139.63881,0.9940457,139.63881,Despachar / reabastecer
CUSTOMER35,"LED TV,UN55U8200FK,55,COLOMBIA,UWS51/U55",LED TV,169.3473,36.0,37.0,2025-09-01,0,36.0,133.3473,133.3473,0.91386586,133.3473,Despachar / reabastecer
CUSTOMER43,"OWM,SAMCOL,CO,19",OWM,147.80028,19.0,102.0,2025-09-01,0,19.0,128.80028,128.80028,0.5526123,128.80028,Despachar / reabastecer
CUSTOMER35,"LED TV,UN43U8200FK,43,COLOMBIA,UWS51/U43",LED TV,132.509,37.0,83.0,2025-09-01,0,37.0,95.509,95.509,1.2002836,95.509,Despachar / reabastecer
CUSTOMER7,"RTF,264.0,120V 60HZ",RTF,299.43967,205.0,181.0,2025-09-01,0,205.0,94.43967,94.43967,2.943409,94.43967,Despachar / reabastecer
CUSTOMER35,"AV RECEIVER,HW-C400,COLOMBIA",AV RECEIVER,94.81465,3.0,84.0,2025-09-01,0,3.0,91.81465,91.81465,0.13599326,91.81465,Despachar / reabastecer
CUSTOMER35,"OWM,SELACOL,CO,13",OWM,125.4215,35.0,33.0,2025-09-01,0,35.0,90.4215,90.4215,1.1995425,90.4215,Despachar / reabastecer
CUSTOMER35,"OWM,SAMCOL,CO,19",OWM,161.52545,73.0,84.0,2025-09-01,0,73.0,88.52545,88.52545,1.94283,88.52545,Despachar / reabastecer
CUSTOMER27,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,87.764496,0.0,0.0,2025-09-01,0,0.0,87.764496,87.764496,0.0,87.764496,Despachar / reabastecer
CUSTOMER8,"OWM,SELACOL,CO,19",OWM,85.74582,0.0,0.0,2025-09-01,0,0.0,85.74582,85.74582,0.0,85.74582,Despachar / reabastecer
CUSTOMER87,"MOBILE,SM-A366E/DS,BLACK,LTC",MOBILE,102.06824,21.0,79.0,2025-09-01,0,21.0,81.06824,81.06824,0.8843297,81.06824,Despachar / reabastecer
CUSTOMER10,"OWM,SELACOL,CO,15",OWM,134.28046,54.0,87.0,2025-09-01,0,54.0,80.28046,80.28046,1.7286631,80.28046,Despachar / reabastecer
CUSTOMER39,"OWM,SELACOL,CO,13",OWM,302.83203,224.0,108.0,2025-09-01,0,224.0,78.83203,78.83203,3.1801896,78.83203,Despachar / reabastecer
CUSTOMER27,"TABLET,SM-X110,GRAY,L13",TABLET,78.51859,0.0,0.0,2025-09-01,0,0.0,78.51859,78.51859,0.0,78.51859,Despachar / reabastecer
