Producto,Product_Type,pred_ventas,prom_3m,incremento_abs,incremento_pct
"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,8537.254,377.75757,8159.496,2154.2793
"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,5493.923,256.01514,5237.9077,2037.9763
"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,5368.488,213.93651,5154.5513,2398.1738
"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,4633.9985,299.2639,4334.735,1443.6417
"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,4236.9,287.78787,3949.112,1367.4785
"MOBILE,SM-A065M/DS,LIGHT GREEN,LTC",MOBILE,3474.032,210.46666,3263.5654,1543.3003
"MOBILE,SM-A266M/DS,BLACK,LTC",MOBILE,2953.2546,244.65079,2708.6038,1102.6237
"AV RECEIVER,HW-C400,COLOMBIA",AV RECEIVER,2671.2036,125.03704,2546.1665,2020.1732
"MOBILE,SM-A266M/DS,LIGHT GREEN,LTC",MOBILE,2417.5479,153.92424,2263.6235,1461.1165
"MOBILE,SM-A166M/DS,BLACK,LTC",MOBILE,2210.8352,152.57143,2058.2637,1340.2646
"MOBILE,SM-A366E/DS,BLACK,LTC",MOBILE,2205.6018,194.86363,2010.7382,1026.6011
"MOBILE,SM-A366E,WHITE,COM",MOBILE,2176.1636,1952.6666,223.49695,11.439871
"MOBILE,SM-A166M/DS,GRAY,LTC",MOBILE,2169.5916,137.7619,2031.8296,1464.2561
"TABLET,SM-X210,GRAY,COO",TABLET,2053.1074,170.54167,1882.5658,1097.4393
"MOBILE,SM-A266M,LIGHT GREEN,COM",MOBILE,1980.6088,1880.3334,100.27539,5.330017
"OWM,SELACOL,CO,19",OWM,1861.2648,48.504272,1812.7605,3661.8264
"MOBILE,SM-A055M/DS,BLACK,LTC",MOBILE,1845.0638,312.76,1532.3038,488.36813
"OWM,SAMCOL,CO,19",OWM,1774.2484,112.289856,1661.9585,1466.9968
"QLED TV,QN55Q7FAAK,55,COLOMBIA,QWD51/Q55",QLED TV,1688.0765,113.888885,1574.1876,1370.1827
"MOBILE,SM-A166M,LIGHT GREEN,COM",MOBILE,1676.9948,1699.5,-22.505249,-1.323449
